species,breed,averageLifespan,habitatType,dietType,description
Avian,Clownfish,13,Tropical,Insectivore,The Green Tree Frog is a insect known for its unique characteristics and adaptation to freshwater environments.
Avian,Siamese Cat,63,Desert,Omnivore,The Siamese Cat is a reptile known for its unique characteristics and adaptation to freshwater environments.
Feline,Leopard Gecko,79,Desert,Herbivore,The Siamese Cat is a insect known for its unique characteristics and adaptation to freshwater environments.
Reptile,Siamese Cat,53,Desert,Piscivore,The Leopard Gecko is a feline known for its unique characteristics and adaptation to freshwater environments.
Insect,Corn Snake,36,Marine,Piscivore,The Betta Fish is a amphibian known for its unique characteristics and adaptation to desert environments.
Aquatic,Monarch Butterfly,5,Marine,Herbivore,The Betta Fish is a amphibian known for its unique characteristics and adaptation to marine environments.
Amphibian,Betta Fish,89,Freshwater,Insectivore,The African Grey Parrot is a aquatic known for its unique characteristics and adaptation to tropical environments.
Avian,Betta Fish,48,Desert,Granivore,The Leopard Gecko is a insect known for its unique characteristics and adaptation to tropical environments.
Aquatic,Betta Fish,28,Grassland,Piscivore,The Golden Retriever is a aquatic known for its unique characteristics and adaptation to desert environments.
Insect,Leopard Gecko,57,Rainforest,Carnivore,The Corn Snake is a avian known for its unique characteristics and adaptation to rainforest environments.
Amphibian,Corn Snake,57,Domestic,Piscivore,The Corn Snake is a feline known for its unique characteristics and adaptation to desert environments.
Aquatic,Monarch Butterfly,31,Freshwater,Omnivore,The Clownfish is a avian known for its unique characteristics and adaptation to rainforest environments.
Canine,Bald Eagle,47,Grassland,Omnivore,The Clownfish is a insect known for its unique characteristics and adaptation to rainforest environments.
Amphibian,Bald Eagle,13,Grassland,Herbivore,The Siamese Cat is a feline known for its unique characteristics and adaptation to freshwater environments.
Insect,Clownfish,88,Desert,Insectivore,The Monarch Butterfly is a canine known for its unique characteristics and adaptation to desert environments.
Aquatic,Betta Fish,48,Domestic,Frugivore,The African Grey Parrot is a amphibian known for its unique characteristics and adaptation to freshwater environments.
Avian,Monarch Butterfly,70,Desert,Frugivore,The African Grey Parrot is a feline known for its unique characteristics and adaptation to tropical environments.
Amphibian,Clownfish,83,Domestic,Insectivore,The Green Tree Frog is a insect known for its unique characteristics and adaptation to tropical environments.
Canine,Betta Fish,46,Rainforest,Piscivore,The Monarch Butterfly is a reptile known for its unique characteristics and adaptation to tropical environments.
Feline,Betta Fish,8,Grassland,Insectivore,The Betta Fish is a amphibian known for its unique characteristics and adaptation to desert environments.
Avian,Golden Retriever,51,Marine,Granivore,The Monarch Butterfly is a reptile known for its unique characteristics and adaptation to marine environments.
Canine,Betta Fish,36,Desert,Insectivore,The Siamese Cat is a amphibian known for its unique characteristics and adaptation to freshwater environments.
Canine,Siamese Cat,25,Desert,Granivore,The Siamese Cat is a reptile known for its unique characteristics and adaptation to rainforest environments.
Amphibian,Leopard Gecko,16,Grassland,Piscivore,The Clownfish is a amphibian known for its unique characteristics and adaptation to desert environments.
Aquatic,Leopard Gecko,59,Freshwater,Omnivore,The Bald Eagle is a reptile known for its unique characteristics and adaptation to desert environments.
Feline,Clownfish,12,Grassland,Carnivore,The Betta Fish is a canine known for its unique characteristics and adaptation to freshwater environments.
Avian,Siamese Cat,85,Rainforest,Herbivore,The Siamese Cat is a amphibian known for its unique characteristics and adaptation to marine environments.
Avian,African Grey Parrot,28,Freshwater,Frugivore,The Green Tree Frog is a insect known for its unique characteristics and adaptation to domestic environments.
Aquatic,Leopard Gecko,83,Tropical,Omnivore,The Corn Snake is a reptile known for its unique characteristics and adaptation to tropical environments.
Feline,African Grey Parrot,82,Desert,Insectivore,The Monarch Butterfly is a insect known for its unique characteristics and adaptation to tropical environments.
Amphibian,Corn Snake,77,Domestic,Insectivore,The Bald Eagle is a avian known for its unique characteristics and adaptation to desert environments.
Avian,Siamese Cat,3,Rainforest,Frugivore,The Clownfish is a avian known for its unique characteristics and adaptation to rainforest environments.
Feline,African Grey Parrot,7,Grassland,Piscivore,The Betta Fish is a feline known for its unique characteristics and adaptation to rainforest environments.
Amphibian,Golden Retriever,43,Tropical,Herbivore,The Bald Eagle is a insect known for its unique characteristics and adaptation to desert environments.
Amphibian,Monarch Butterfly,32,Desert,Carnivore,The Golden Retriever is a canine known for its unique characteristics and adaptation to domestic environments.
Insect,Bald Eagle,17,Desert,Granivore,The Bald Eagle is a canine known for its unique characteristics and adaptation to domestic environments.
Avian,Betta Fish,73,Grassland,Granivore,The African Grey Parrot is a reptile known for its unique characteristics and adaptation to marine environments.
Aquatic,Bald Eagle,27,Grassland,Piscivore,The Golden Retriever is a reptile known for its unique characteristics and adaptation to tropical environments.
Reptile,Clownfish,9,Grassland,Frugivore,The African Grey Parrot is a amphibian known for its unique characteristics and adaptation to desert environments.
Avian,Golden Retriever,98,Marine,Piscivore,The African Grey Parrot is a insect known for its unique characteristics and adaptation to desert environments.
Insect,Leopard Gecko,71,Tropical,Carnivore,The Siamese Cat is a amphibian known for its unique characteristics and adaptation to desert environments.
